Arrondissement,Point Order,PolygonID,Latitude,Longitude
Outremont,1,66023,-73.62077559,45.52365088
Outremont,2,66023,-73.6207872,45.52363777
Outremont,3,66023,-73.6208361,45.52359259
Outremont,4,66023,-73.62290647,45.52125447
Outremont,5,66023,-73.62447683,45.51955104
Outremont,6,66023,-73.62672189,45.5165789
Outremont,7,66023,-73.62600492,45.51624689
Outremont,8,66023,-73.62528091,45.51592991
Outremont,9,66023,-73.62476086,45.51569793
Outremont,10,66023,-73.62472581,45.51569788
Outremont,11,66023,-73.62402282,45.51537287
Outremont,12,66023,-73.62380491,45.51527294
Outremont,13,66023,-73.62257481,45.51470687
Outremont,14,66023,-73.62111089,45.51404194
Outremont,15,66023,-73.61817781,45.51273094
Outremont,16,66023,-73.61766385,45.51249893
Outremont,17,66023,-73.61887984,45.51113386
Outremont,18,66023,-73.61691981,45.5102758
Outremont,19,66023,-73.61789279,45.50917378
Outremont,20,66023,-73.61603982,45.50832875
Outremont,21,66023,-73.61622078,45.50813274
Outremont,22,66023,-73.61645375,45.50787674
Outremont,23,66023,-73.61799285,45.50620478
Outremont,24,66023,-73.61823687,45.50593671
Outremont,25,66023,-73.61836184,45.50578277
Outremont,26,66023,-73.61859184,45.50552578
Outremont,27,66023,-73.61894884,45.50512475
Outremont,28,66023,-73.61823489,45.50472072
Outremont,29,66023,-73.61776186,45.50526172
Outremont,30,66023,-73.61759691,45.50543072
Outremont,31,66023,-73.61745988,45.50557576
Outremont,32,66023,-73.61648687,45.50665975
Outremont,33,66023,-73.61588884,45.50731382
Outremont,34,66023,-73.61564281,45.50758585
Outremont,35,66023,-73.61463578,45.50868588
Outremont,36,66023,-73.61392581,45.50947193
Outremont,37,66023,-73.61304888,45.51044596
Outremont,38,66023,-73.61221083,45.51008394
Outremont,39,66023,-73.61124389,45.50966892
Outremont,40,66023,-73.60635289,45.50749
Outremont,41,66023,-73.60613388,45.506876
Outremont,42,66023,-73.6059059,45.50677398
Outremont,43,66023,-73.60353391,45.50569895
Outremont,44,66023,-73.60247587,45.50685697
Outremont,45,66023,-73.6000319,45.505696
Outremont,46,66023,-73.59937999,45.50538907
Outremont,47,66023,-73.5991199,45.50563201
Outremont,48,66023,-73.59889698,45.50551404
Outremont,49,66023,-73.59878389,45.505617
Outremont,50,66023,-73.59561091,45.50406299
Outremont,51,66023,-73.59349,45.50611205
Outremont,52,66023,-73.59146491,45.50807012
Outremont,53,66023,-73.59419094,45.50978611
Outremont,54,66023,-73.59350884,45.51052515
Outremont,55,66023,-73.59436284,45.51091213
Outremont,56,66023,-73.59496687,45.51090614
Outremont,57,66023,-73.59567387,45.51112009
Outremont,58,66023,-73.59667585,45.51154608
Outremont,59,66023,-73.59690078,45.51177807
Outremont,60,66023,-73.59688182,45.51249614
Outremont,61,66023,-73.59681673,45.51258412
Outremont,62,66023,-73.59679381,45.51263714
Outremont,63,66023,-73.59677876,45.51273012
Outremont,64,66023,-73.59682077,45.51291106
Outremont,65,66023,-73.59694081,45.51304108
Outremont,66,66023,-73.59703275,45.51309914
Outremont,67,66023,-73.59717579,45.51315508
Outremont,68,66023,-73.59733376,45.51318311
Outremont,69,66023,-73.59750977,45.51319907
Outremont,70,66023,-73.59771574,45.51320105
Outremont,71,66023,-73.59790574,45.5131891
Outremont,72,66023,-73.59807473,45.51317311
Outremont,73,66023,-73.59841971,45.51310307
Outremont,74,66023,-73.59868181,45.5130861
Outremont,75,66023,-73.59878876,45.51309411
Outremont,76,66023,-73.59889573,45.5131121
Outremont,77,66023,-73.59841571,45.5136001
Outremont,78,66023,-73.59786075,45.51416313
Outremont,79,66023,-73.59770376,45.5142861
Outremont,80,66023,-73.59755073,45.51437308
Outremont,81,66023,-73.59736675,45.51445306
Outremont,82,66023,-73.59720277,45.51450207
Outremont,83,66023,-73.59706168,45.51453414
Outremont,84,66023,-73.59685871,45.51456212
Outremont,85,66023,-73.59560371,45.51458109
Outremont,86,66023,-73.5921678,45.51448414
Outremont,87,66023,-73.59202884,45.51446913
Outremont,88,66023,-73.59184484,45.51447216
Outremont,89,66023,-73.59160484,45.51451213
Outremont,90,66023,-73.59141883,45.51457816
Outremont,91,66023,-73.59128877,45.51464918
Outremont,92,66023,-73.59119882,45.51471018
Outremont,93,66023,-73.59020578,45.51575318
Outremont,94,66023,-73.59130873,45.51624619
Outremont,95,66023,-73.59138078,45.51628015
Outremont,96,66023,-73.59677866,45.51869006
Outremont,97,66023,-73.60279677,45.52134805
